image,median |dtheta| [deg],90th pct [deg],coherency corr.,energy corr.
synthetic_rings_dither_512,0.006,0.017,0.01,0.9197
synthetic_spiral_512,0.009,0.035,0.8118,0.9205
synthetic_chirp_1024,0.012,0.042,0.4918,0.9424
dendrochronology,1.411,5.186,0.7983,0.6417
polymer_slice_quanfima2018,1.694,6.93,0.1283,0.8413
synthetic_wave_512,2.027,4.521,0.9586,0.6973
synthetic_nematic_512,2.29,7.781,0.697,0.8508
synthetic_filaments_512,2.885,17.847,0.8726,0.9108
collagen,3.914,18.506,0.8149,0.7536
cell_aemisegger,4.286,18.49,0.7634,0.7681
fiji_directionality_montage,4.501,23.761,0.8423,0.8013
fibrous_tissues_fibero2024,5.31,24.691,0.7459,0.9296
nanofiber_fiji_diameterj,5.351,34.083,0.7488,0.9066
z_artificial_fibers,8.87,33.42,0.69,0.7104
fibronectin_arafat_plos2025,11.803,52.474,0.5614,0.6931
synthetic_noise_512,12.703,49.121,0.5571,0.7895
