#,Year,OrientationJ mode,Field / application,Reference,Usage extract,DOI,Title,Journal,Authors
1,2013,Coherency,collagen/ECM in tumors,Perry et al. (2013),the coherency parameter was calculated on these same collagen I IF images using the ImageJ plugin OrientationJ,10.1186/1471-2407-13-411,Stromal matrix metalloprotease-13 knockout alters Collagen I structure at the tumor-host interface and increases lung metastasis of C57BL/6 syngeneic E0771 mammary tumor cells,BMC Cancer,"Perry SW, Schueckler JM, Burke K, Arcuri GL, Brown EB."
2,2014,Color-coded orientation map,"microtubule cytoskeleton, planar cell polarity",Matis et al. (2014),"Orientations of MTs, in the regions shown, calculated using OrientationJ, aligned with the P-D axis at each stage and location (arrows).",10.7554/elife.02893,Microtubules provide directional information for core PCP function,eLife,"Matis M, Russler-Germain DA, Hu Q, Tomlin CJ, Axelrod JD."
3,2014,Coherency and orientation analysis,plant tissue regeneration and cell organization,Zajączkowska (2014),Cell ordering within the overgrowth tissue was estimated using the OrientationJ image analysis plugin based on structure tensor.,10.1007/s00425-014-2142-y,Overgrowth of Douglas fir (Pseudotsuga menziesii Franco) stumps with regenerative tissue as an example of cell ordering and tissue reorganization,Planta,Zajączkowska U.
4,2014,Distribution (directionality histogram),vascular endothelial cell alignment,Li et al. (2014),"Automated quantification of cell orientation relative to the direction of shear stress was determined using OrientationJ software, also an ImageJ plugin",10.1038/nature13701,Piezo1 integration of vascular architecture with physiological force,Nature,"Li J, Hou B, Tumova S, Muraki K, Bruns A, Ludlow MJ, Sedo A, Hyman AJ, McKeown L, Young RS, Yuldasheva NY, Majeed Y, Wilson LA, Rode B, Bailey MA, Kim HR, Fu Z, Carter DA, Bilton J, Imrie H, Ajuh P, Dear TN, Cubbon RM, Kearney MT, Prasad RK, Evans PC, Ainscough JF, Beech DJ."
5,2015,orientation calculation,cardiac tissue engineering,Pasqualini et al. (2015),"OrientationJ ( Rezakhaniha et al., 2012 ) plugins were used to highlight the filamentous structure and calculate the orientations of foreground pixels, respectively.",10.1016/j.stemcr.2015.01.020,Structural phenotyping of stem cell-derived cardiomyocytes,Stem Cell Reports,"Pasqualini FS, Sheehy SP, Agarwal A, Aratyn-Schaus Y, Parker KK."
6,2015,Coherency map,cell biophysics / gold nanoparticles,Kalies et al. (2015),"This was done using the ImageJ plugin OrientationJ [ 38 , 39 ], that allows to measure the coherency of local image features.",10.1371/journal.pone.0124052,Investigation of biophysical mechanisms in gold nanoparticle mediated laser manipulation of cells using a multimodal holographic and fluorescence imaging setup,PLOS ONE,"Kalies S, Antonopoulos GC, Rakoski MS, Heinemann D, Schomaker M, Ripken T, Meyer H."
7,2015,Distribution (directionality histogram),cellular and subcellular oriented structures,Kartasalo et al. (2015),"Previously published general purpose tools include the ImageJ plug-ins FibrilTool and OrientationJ, which allow the quantification of orientation distributions based on intensity gradients.",10.1186/s12859-015-0782-y,CytoSpectre: a tool for spectral analysis of oriented structures on cellular and subcellular levels,BMC Bioinformatics,"Kartasalo K, Pölönen RP, Ojala M, Rasku J, Lekkala J, Aalto-Setälä K, Kallio P."
8,2015,Coherency map,collagen/ECM in tumors,Lee et al. (2015),Collagen coherency and amount was calculated from the left and right images via the OrientationJ plugin for ImageJ and thresholded area respectively.,10.1080/21659087.2015.1055430,In vivo imaging of the tumor and its associated microenvironment using combined CARS / 2-photon microscopy,IntraVital,"Lee M, Downes A, Chau YY, Serrels B, Hastie N, Elfick A, Brunton V, Frame M, Serrels A."
9,2015,orientation/coherency analysis,collagen/ECM materials,Lin et al. (2015),"The orientation of collagen fiber network was analyzed using the OrientationJ plugin [ 20 ] in ImageJ software (NIH, Bethesda, MD, USA).",10.3390/ma8020551,Influence of Crosslink Density and Stiffness on Mechanical Properties of Type I Collagen Gel,Materials,"Lin S, Gu L."
10,2015,structure-tensor order parameter,fetal white matter tracts / neuronal fiber organization,Mitter et al. (2015),ST analysis was performed with the OrientationJ plugin for ImageJ using a cubic spline gradient with a Gaussian window of 5 pix.,10.3389/fnana.2015.00164,Validation of In utero Tractography of Human Fetal Commissural and Internal Capsule Fibers with Histological Structure Tensor Analysis,Frontiers in Neuroanatomy,"Mitter C, Jakab A, Brugger PC, Ricken G, Gruber GM, Bettelheim D, Scharrer A, Langs G, Hainfellner JA, Prayer D, Kasprian G."
11,2015,Distribution (directionality histogram),materials/nanofibers,Hotaling et al. (2015),"The file labeled "" Figure 5 C – Orientation Histogram.xlsx"" contains the frequency of occurrence of a given fiber orientation as defined by the OrientationJ plugin.",10.1016/j.dib.2015.07.012,Dataset for the validation and use of DiameterJ an open source nanofiber diameter measurement tool,Data in Brief,"Hotaling NA, Bharti K, Kriel H, Simon CG."
12,2015,Distribution (directionality histogram),materials/nanofibers,Jenkins et al. (2015),"OrientationJ, a plug-in for ImageJ, was used to process SEM images and generate a table of pixels counted versus degree of orientation.",10.1186/s11671-015-0972-6,A nerve guidance conduit with topographical and biochemical cues: potential application using human neural stem cells,Nanoscale Research Letters,"Jenkins PM, Laughter MR, Lee DJ, Lee YM, Freed CR, Park D."
13,2015,orientation/coherency analysis,materials/nanofibers,Bhadra et al. (2015),SEM images were obtained using the ImageJ ® 1.48 package with DiameterJ and OrientationJ plugins.,10.1038/srep16817,Antibacterial titanium nano-patterned arrays inspired by dragonfly wings,Scientific Reports,"Bhadra CM, Truong VK, Pham VT, Al Kobaisi M, Seniutinas G, Wang JY, Juodkazis S, Crawford RJ, Ivanova EP."
14,2015,orientation/coherency analysis,scaffold tissue engineering,Zhang et al. (2015),"Orientation of the scaffold struts was quantified using an ImageJ plug-in, OrientationJ",10.1126/sciadv.1500423,Platform technology for scalable assembly of instantaneously functional mosaic tissues,Science Advances,"Zhang B, Montgomery M, Davenport-Huyer L, Korolj A, Radisic M."
15,2015,Dominant Direction,tendon/mineralized tissue biomechanics,Breidenbach et al. (2015),Collagen fiber orientation of the mineralized and unmineralized insertion was calculated using the FIJI plug‐in OrientationJ,10.1002/jor.22899,Ablating hedgehog signaling in tenocytes during development impairs biomechanics and matrix organization of the adult murine patellar tendon enthesis,Journal of Orthopaedic Research,"Breidenbach AP, Aschbacher-Smith L, Lu Y, Dyment NA, Liu CF, Liu H, Wylie C, Rao M, Shearn JT, Rowe DW, Kadler KE, Jiang R, Butler DL."
